season,player_id,player_name,team_id,archetype_id,archetype,attempts,points,xpoints,poe,poe_per_100,poe_ci_low,poe_ci_high,pps,xpps,efg_pct,ts_pct,rel_ts_pct,avg_distance_ft,three_pa_rate,rim_rate,midrange_rate,restricted_area_share,paint_non_ra_share,mid_range_share,corner_3_share,above_break_3_share
2022-23,203999,Nikola Jokić,1610612743,3,Balanced Shot Diet,1020,1349,1078.7862210441817,270.21377895581827,26.491546956452773,20.181465888202087,32.436045785435574,1.322549019607843,1.0576335500433154,0.6612745098039216,0.7014776689357464,0.12022122030557558,8.074509620666504,0.14411764705882352,0.4196078431372549,0.08431372549019608,0.4196078431372549,0.3519607843137255,0.08431372549019608,0.0058823529411764705,0.13823529411764707
2022-23,1627739,Kris Dunn,1610612762,3,Balanced Shot Diet,216,249,208.55694345693925,40.44305654306075,18.72363728845405,4.348761863752592,33.48877311654174,1.1527777777777777,0.9655414048932373,0.5763888888888888,0.6058833361190039,0.024626887488833127,8.80555534362793,0.16666666666666666,0.24537037037037038,0.018518518518518517,0.24537037037037038,0.5694444444444444,0.018518518518518517,0.023148148148148147,0.14351851851851852
2022-23,204456,T.J. McConnell,1610612754,3,Balanced Shot Diet,521,592,533.2019079340067,58.79809206599327,11.285622277541895,2.527482028717774,20.44241944167849,1.1362763915547025,1.0234201687792834,0.5681381957773513,0.5899223117694039,0.008665863139233121,8.063340187072754,0.11324376199616124,0.4069097888675624,0.1785028790786948,0.4069097888675624,0.30134357005758156,0.1785028790786948,0.03262955854126679,0.08061420345489444
2022-23,1630570,Trendon Watford,1610612757,3,Balanced Shot Diet,323,387,350.7816598083909,36.218340191609116,11.213108418454834,0.028473338726609638,23.04547305687912,1.1981424148606812,1.0860113306761328,0.5990712074303406,0.6253405994550408,0.04408415082487005,8.445820808410645,0.19814241486068113,0.44272445820433437,0.02786377708978328,0.44272445820433437,0.33126934984520123,0.02786377708978328,0.02476780185758514,0.17337461300309598
2022-23,1627751,Jakob Poeltl,1610612761,3,Balanced Shot Diet,617,778,713.0235614420516,64.97643855794843,10.531027318954363,3.3603667957967756,17.69990995223517,1.260940032414911,1.1556297592253673,0.6304700162074555,0.6348734499745201,0.053617001344349324,4.235008239746094,0.0,0.5445705024311183,0.05186385737439222,0.5445705024311183,0.4035656401944895,0.05186385737439222,0.0,0.0
2022-23,1629634,Brandon Clarke,1610612763,3,Balanced Shot Diet,349,459,422.3785925078423,36.62140749215769,10.493239969099625,1.2929540588367379,19.814917024123872,1.3151862464183381,1.2102538467273418,0.6575931232091691,0.6814413887263506,0.10018494009617984,4.661890983581543,0.017191977077363897,0.5530085959885387,0.06017191977077364,0.5530085959885387,0.36962750716332377,0.06017191977077364,0.017191977077363897,0.0
2022-23,1628418,Thomas Bryant,1610612743,3,Balanced Shot Diet,368,486,449.5724813064296,36.42751869357039,9.898782253687607,-0.3410684279744213,20.994390135829295,1.3206521739130435,1.2216643513761674,0.6603260869565217,0.6820752049759683,0.10081875634579751,7.855978488922119,0.15760869565217392,0.5135869565217391,0.11684782608695653,0.5135869565217391,0.21195652173913043,0.11684782608695653,0.035326086956521736,0.12228260869565218
2022-23,203954,Joel Embiid,1610612755,3,Balanced Shot Diet,1326,1522,1396.1176296490578,125.88237035094221,9.493391429181163,4.091248175550683,15.165084713612915,1.147812971342383,1.0528790570505715,0.5739064856711915,0.6546747918715962,0.07341834324142538,10.782051086425781,0.1493212669683258,0.31825037707390647,0.2647058823529412,0.31825037707390647,0.26772247360482654,0.2647058823529412,0.006033182503770739,0.14328808446455504
2022-23,1629012,Collin Sexton,1610612762,3,Balanced Shot Diet,468,522,485.56127948239873,36.43872051760127,7.786051392649844,-2.1091168288668247,18.612873602926356,1.1153846153846154,1.037524101458117,0.5576923076923077,0.6164950680394558,0.035238619409284966,10.435897827148438,0.2606837606837607,0.358974358974359,0.07905982905982906,0.358974358974359,0.30128205128205127,0.07905982905982906,0.05555555555555555,0.20512820512820512
2022-23,203937,Kyle Anderson,1610612750,3,Balanced Shot Diet,495,547,515.3281335149333,31.671866485066744,6.398356865670049,-3.2130484664832415,16.121279706451954,1.105050505050505,1.0410669363938045,0.5525252525252525,0.5830509696489078,0.0017945210187370053,9.440403938293457,0.21212121212121213,0.3111111111111111,0.0707070707070707,0.3111111111111111,0.40606060606060607,0.0707070707070707,0.10303030303030303,0.10909090909090909
2022-23,1629028,Deandre Ayton,1610612756,3,Balanced Shot Diet,887,1051,1001.9242455037108,49.075754496289164,5.532779537349398,-0.6271134320855415,11.3061420498198,1.1848928974069899,1.1295651020334958,0.5924464487034949,0.6169230769230769,0.03566662829290612,7.2254791259765625,0.02705749718151071,0.36753100338218714,0.1984216459977452,0.36753100338218714,0.4069898534385569,0.1984216459977452,0.0,0.02705749718151071
